"pos","pop","line","lat","region","onto.1","onto.2"
90,"Bella",13,8.79,"tropical",0.524852666336322,0.0196744310049863
65,"Bella",2,8.79,"tropical",0.357521984873981,0.0834404030013294
7,"Bella",21,8.79,"tropical",0.544205105722402,0.0380958920445293
40,"Bella",3,8.79,"tropical",0.641504936456411,0.165995841060278
33,"Bella",4,8.79,"tropical",0.912145792173359,0.299970389198241
157,"Caesar",10,39.4887,"north temperate",0.176973378416417,0.366693579837898
61,"Caesar",3,39.4887,"north temperate",0.214202237784724,0.491446782021041
15,"Caesar",5,39.4887,"north temperate",0.0854729730616225,0.0280701964106431
31,"Caesar",7,39.4887,"north temperate",0.0566000946381008,0.0705296822288603
20,"Caesar",9,39.4887,"north temperate",0.268512857567553,0.509949174767242
35,"Center Hill",1,36.06935,"temperate",0.172657499891217,0.496015443800278
106,"Center Hill",2,36.06935,"temperate",0.18756096097347,0.494963876982459
135,"Center Hill",3,36.06935,"temperate",0.136290616218706,0.138338456343335
141,"Center Hill",7,36.06935,"temperate",0.00240707447053606,0.379535392894185
63,"Center Hill",8,36.06935,"temperate",0.234952587189187,0.18280001972717
58,"Dalton",2,34.670883,"temperate",0.14552800562305,0.304361983160943
158,"Dalton",4,34.670883,"temperate",0.22751255898569,0.341317741659208
139,"Dalton",6,34.670883,"temperate",0.149701903204478,0.4305649529803
93,"Dalton",8,34.670883,"temperate",0.120104824334234,0.365089534138544
10,"Dalton",9,34.670883,"temperate",0.061418602527457,0.393653915558936
3,"Gav",1,8.72883,"tropical",0.193270683281814,0.136194422522849
21,"Gav",11,8.72883,"tropical",0.536698405136574,0.0508533055982191
136,"Gav",2,8.72883,"tropical",0.631463858417968,0.0261769298904884
91,"Gav",23,8.72883,"tropical",0.488824579615156,0.179992474360929
156,"Gav",6,8.72883,"tropical",0.847790892784268,0.140213229372875
83,"Gen Butler",1,38.675517,"temperate",0.0132710635725224,0.276477773358108
38,"Gen Butler",2,38.675517,"temperate",0.0577627744600369,0.366317786606511
67,"Gen Butler",7,38.675517,"temperate",0.113393645467311,0.0839952259810606
51,"Gen Butler",9,38.675517,"temperate",0.15384307007172,0.278831256393192
140,"HV",10,37.1818,"temperate",0.0986976382016979,0.27799781421867
89,"HV",13,37.1818,"temperate",0.0791898391934713,0.318767147392264
17,"HV",3,37.1818,"temperate",0.158124241267635,0.0476838361529587
148,"HV",5,37.1818,"temperate",0.101576054918817,0.29207958867367
69,"HV",7,37.1818,"temperate",0.261108849442053,0.439459842969031
100,"Hwy 27",1,26.537067,"subtropical",0.156760954761445,0.245915813404452
81,"Hwy 27",2,26.537067,"subtropical",0.101748070126716,0.232279858731805
78,"Hwy 27",3,26.537067,"subtropical",0.292221158736627,0.392674978821785
25,"Hwy 27",6,26.537067,"subtropical",0.144851917690668,0.503155194705687
86,"Hwy 27",8,26.537067,"subtropical",0.176625553553306,0.444898429314307
71,"Hwy 27",9,26.537067,"subtropical",0.0943740686078437,0.398765066013651
76,"KBS",12,42.399933,"north temperate",0.247715073984325,0.190617087997102
145,"KBS",2,42.399933,"north temperate",0.138129945512814,0.380225406677688
29,"KBS",5,42.399933,"north temperate",0.300089894127278,0.645001358173221
96,"KBS",8,42.399933,"north temperate",0.150886901757482,0.179020759575594
80,"KBS",9,42.399933,"north temperate",0.170372477015154,0.192206584743274
